id,wallet,slug,category,side,entryPrice,cashSize,status,dbPnl,verifyPnl,won,isStopLoss,openedAt,closedAt,day
cms1su3my7kl9u2ds2aa6bave,0x558f2f82cf0394c28ce3c8e117ee747aeab51a56,"f1-hungarian-grand-prix-winner-norris-2026-07-26",sports,BUY,0.7306,14.27,closed,-12.0100,-14.2700,false,true,2026-07-26T12:53:35.306Z,2026-07-26T14:04:26.680Z,2026-07-26
cms1u3aom7mehu2dslyp3vbz4,STRATEGY:political_favorites,"will-bn-win-the-2026-negeri-sembilan-general-elections-20260720213330400",politics,BUY,0.7018,10.00,open,0.4200,0.0000,,false,2026-07-26T13:28:43.990Z,,2026-07-26
cms1yi41c7si1u2dsnaxmfv32,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,"wta-hunter-johnson-2026-07-26",other,BUY,0.6728,20.00,closed,-10.5600,-20.0000,false,true,2026-07-26T15:32:13.660Z,2026-07-26T17:00:46.602Z,2026-07-26
cms2808qf85u3u2dsb98rqrlk,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,"atp-boyer-tomic-2026-07-26",other,BUY,0.6728,20.00,open,-5.8800,0.0000,,false,2026-07-26T19:58:15.941Z,,2026-07-26
cms2vbh2k91hlu2dsfq36fh02,STRATEGY:political_favorites,"will-loranne-ausley-win-the-tallahassee-mayoral-election-20260602161659079",politics,BUY,0.6957,10.00,open,-3.4600,0.0000,,false,2026-07-27T06:50:51.308Z,,2026-07-27
cms34twwl9dw9u2ds0ey43krl,STRATEGY:political_favorites,"will-james-martin-be-the-fl-21-democratic-nominee-20260724185824810",politics,BUY,0.7782,10.00,open,-5.1700,0.0000,,false,2026-07-27T11:17:08.181Z,,2026-07-27
cms3q8bel00x6u2247bwtwenu,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,"atp-nishiko-shang-2026-07-27",other,BUY,0.6240,20.00,closed,-15.0000,-20.0000,false,true,2026-07-27T21:16:12.074Z,2026-07-27T23:09:33.007Z,2026-07-27
cms3tydnf02qnu2ngw1jr36vz,STRATEGY:political_favorites,"will-trump-and-netanyahu-hug-on-tuesday-20260724181151719",politics,BUY,0.7000,10.00,open,3.7300,0.0000,,false,2026-07-27T23:00:26.908Z,,2026-07-27
cms3tydr902qpu2ng4eo6o3mk,STRATEGY:political_favorites,"will-count-binface-get-second-place-in-the-clacton-by-election-copy-20260707214646969",politics,BUY,0.8066,10.00,open,-0.5400,0.0000,,false,2026-07-27T23:00:27.045Z,,2026-07-27
cms3v8vi702ymu2ngsxvjulaw,0x5268527977f700f9bf9b6d5cd843859e4e70135d,"wta-gibson-maria-2026-07-26",other,BUY,0.7972,20.00,resolved,5.0900,5.0891,true,false,2026-07-27T23:36:36.196Z,2026-07-28T00:25:33.340Z,2026-07-27
cms3v8vq002zku2ngfupatm2w,0x5268527977f700f9bf9b6d5cd843859e4e70135d,"wta-samsono-keys-2026-07-27",other,BUY,0.7688,20.00,closed,-13.9800,-20.0000,false,true,2026-07-27T23:36:36.474Z,2026-07-28T00:25:31.473Z,2026-07-27
cms3z0brx05zlu2ngw2gr4twc,0x5268527977f700f9bf9b6d5cd843859e4e70135d,"atp-hernand-tomic-2026-07-27",other,BUY,0.7254,20.00,resolved,7.5700,7.5720,true,false,2026-07-28T01:21:55.851Z,2026-07-28T03:07:35.350Z,2026-07-28
cms4019j6072ju2ngdye4cxpn,0x5268527977f700f9bf9b6d5cd843859e4e70135d,"mlb-phi-mia-2026-07-28-spread-away-2pt5",sports,BUY,0.7592,20.00,resolved,6.3400,6.3421,true,false,2026-07-28T01:50:39.216Z,2026-07-29T01:23:37.914Z,2026-07-28
cms40p3f5077fu2nge2qp7v52,0x5268527977f700f9bf9b6d5cd843859e4e70135d,"mlb-kc-min-2026-07-28-spread-away-1pt5",sports,BUY,0.7210,20.00,resolved,7.7400,7.7393,true,false,2026-07-28T02:09:11.026Z,2026-07-29T02:47:08.816Z,2026-07-28
cms41esg90893u2ngz0bb4tao,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,"itf-taguchi-sumizaw-2026-07-28",other,BUY,0.7018,17.15,resolved,7.2900,7.2886,true,false,2026-07-28T02:29:09.877Z,2026-07-28T04:15:08.135Z,2026-07-28
cms41eskj089du2ngib01870d,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,"mlb-hou-laa-2026-07-27",sports,BUY,0.7688,14.01,closed,-12.0200,-14.0100,false,true,2026-07-28T02:29:10.031Z,2026-07-28T04:42:50.547Z,2026-07-28
cms41qdey08bxu2ng9uql95ss,0x5268527977f700f9bf9b6d5cd843859e4e70135d,"mlb-bal-det-2026-07-28-spread-home-2pt5",sports,BUY,0.7402,20.00,resolved,-20.0000,-20.0000,false,false,2026-07-28T02:38:10.269Z,2026-07-29T01:40:55.959Z,2026-07-28
cms4341lx09hsu2ngcjwyue0m,0xf0ca28d5b0141f0a8e7b251dea80fd881cb166ed,"will-apple-be-the-largest-company-in-the-world-by-market-cap-on-july-31-20260624192329843",other,BUY,0.7972,14.82,open,0.0900,0.0000,,false,2026-07-28T03:16:47.758Z,,2026-07-28
cms445ivb0aguu2ngmhnomyzv,0x31a1a31f4c031e35f88762df68b626b2e6be1227,"crint-lka3-pak3-2026-07-28",other,BUY,0.6436,13.30,resolved,7.3700,7.3663,true,false,2026-07-28T03:45:56.398Z,2026-07-28T13:35:50.780Z,2026-07-28
cms4ucjym01o3u2jkgkhcwawd,0x5268527977f700f9bf9b6d5cd843859e4e70135d,"wta-bucsa-kuderme-2026-07-28",other,BUY,0.7402,20.00,resolved,-20.0000,-20.0000,false,false,2026-07-28T15:59:14.432Z,2026-07-28T19:34:20.873Z,2026-07-28
cms4uck2x01o7u2jkhrk7aehh,0x5268527977f700f9bf9b6d5cd843859e4e70135d,"atp-gentzsc-silv-2026-07-27",other,BUY,0.7018,20.00,resolved,8.5000,8.4998,true,false,2026-07-28T15:59:14.583Z,2026-07-28T19:47:24.292Z,2026-07-28
cms4uck7r01ohu2jkvvx2je71,0x5268527977f700f9bf9b6d5cd843859e4e70135d,"mlb-cle-cin-2026-07-28-spread-home-1pt5",sports,BUY,0.7210,20.00,resolved,-20.0000,-20.0000,false,false,2026-07-28T15:59:14.754Z,2026-07-29T02:18:37.104Z,2026-07-28
cms4upycc01w7u2f0iwa9v85f,0x5268527977f700f9bf9b6d5cd843859e4e70135d,"mlb-nyy-cws-2026-07-28-spread-away-2pt5",sports,BUY,0.7306,20.00,resolved,7.3800,7.3751,true,false,2026-07-28T16:09:39.581Z,2026-07-29T02:47:09.250Z,2026-07-28
cms4ynear01m5u22467271yt3,0x5268527977f700f9bf9b6d5cd843859e4e70135d,"atp-fils-jodar-2026-07-27",other,BUY,0.6240,14.41,resolved,-14.4100,-14.4100,false,false,2026-07-28T17:59:38.769Z,2026-07-28T20:04:12.273Z,2026-07-28
cms5211tn022xu2asu2zksy9i,0xbd0477e08d82d35a855ff19644a88a9213d8fbb0,"us-x-iran-effective-ceasfire-by-august-14-20260715194822046",other,BUY,0.7000,14.27,open,-4.8900,0.0000,,false,2026-07-28T19:34:14.636Z,,2026-07-28
cms5b7kb50dj4u2asyyvg3mza,0x9f208e85f326f865077fffa68b32d8b0e2bc12c3,"will-philadelphia-phillies-win-the-2026-nl-east-title",other,BUY,0.7972,14.08,open,0.1100,0.0000,,false,2026-07-28T23:51:15.071Z,,2026-07-28
cms5dkthv0g2mu2asftfvjm13,0x224a89dbe0db0d6124b335edabd15b3f877da3d5,"mlb-kc-min-2026-07-28",sports,BUY,0.7114,12.66,resolved,5.1400,5.1361,true,false,2026-07-29T00:57:32.724Z,2026-07-29T02:47:09.799Z,2026-07-29
cms5ikeh80myvu2asqz3x3po4,STRATEGY:political_favorites,"will-count-binface-win-less-than-10-of-votes-in-the-clacton-parliamentary-by-election-20260708142507719",politics,BUY,0.8066,10.00,open,-0.6700,0.0000,,false,2026-07-29T03:17:11.372Z,,2026-07-29
cms5jg8310n9ku2asmradg236,0x090af6fd2aeb04202abc97370aa86c1b81d90fa6,"will-the-bank-of-russia-decrease-the-key-rate-after-the-september-meeting-20260623013926067",other,BUY,0.7306,13.30,open,-1.8800,0.0000,,false,2026-07-29T03:41:56.055Z,,2026-07-29
cms5vtuc611jmu2asu3x4qw5p,0x511f9c771449162349795d17becf8b37031acbe1,"will-mouz-win-blast-bounty-2026-season-2-20260709030045122",other,BUY,0.7972,14.23,open,1.3800,0.0000,,false,2026-07-29T09:28:26.821Z,,2026-07-29
cms5ya1wn140su2asiquz76jm,0xb7aba0e44edb6773c3b3a8308aae8a24781fa2d1,"wta-maria-zarazua-2026-07-29",other,BUY,0.6630,13.52,resolved,-13.5200,-13.5200,false,false,2026-07-29T10:37:02.199Z,2026-07-30T02:10:45.735Z,2026-07-29
cms6fhyqj0i6lu2ws78815uhs,0xc5187cb669690150643ba2f9aac6b7d98d212594,"will-there-be-no-change-in-fed-interest-rates-after-the-september-2026-meeting-615",macro,BUY,0.6921,13.11,open,-3.1600,0.0000,,false,2026-07-29T18:39:04.966Z,,2026-07-29
cms6gll820ka6u2ws0uqu417p,STRATEGY:political_favorites,"will-wesley-bell-be-the-democratic-nominee-for-mo-01",politics,BUY,0.6824,10.00,open,-0.6600,0.0000,,false,2026-07-29T19:09:53.715Z,,2026-07-29
cms6h2a0h0kbnu2ws4v14fbvx,0x224a89dbe0db0d6124b335edabd15b3f877da3d5,"mlb-atl-nym-2026-07-29",sports,BUY,0.7497,13.21,resolved,4.4100,4.4101,true,false,2026-07-29T19:22:52.325Z,2026-07-29T20:20:22.269Z,2026-07-29
cms6jlbn60mw2u2wserzxtcua,0xabb89972b21b304c1bed2bf26f35c8741ac9bba3,"mlb-col-sd-2026-07-29",sports,BUY,0.7018,14.23,resolved,6.0500,6.0476,true,false,2026-07-29T20:33:40.083Z,2026-07-29T23:16:37.094Z,2026-07-29
cms6jlca40myyu2wslv6kfg6t,0x9f208e85f326f865077fffa68b32d8b0e2bc12c3,"will-new-people-nl-gain-the-most-seats-in-the-next-russian-parliamentary-election",politics,BUY,0.6560,12.84,open,0.1600,0.0000,,false,2026-07-29T20:33:40.948Z,,2026-07-29
cms6kpqum0p17u2wsyl597gkh,STRATEGY:political_favorites,"will-cori-bush-be-the-democratic-nominee-for-mo-01",politics,BUY,0.6824,10.00,open,-0.8100,0.0000,,false,2026-07-29T21:05:06.094Z,,2026-07-29
cms6lo2p80paiu2wsn4fzbjs9,0x1b47e9b128e6b671edebfb2cac23dd3efc40d814,"mlb-mil-sf-2026-07-29",sports,BUY,0.7210,13.35,resolved,5.1700,5.1660,true,false,2026-07-29T21:31:47.699Z,2026-07-29T23:16:37.515Z,2026-07-29
cms71783e16a0u2wsovmypo14,0xdd5ef115f801999575b03d78d0115ad8b2d59040,"atp-svrcina-darderi-2026-07-30",other,BUY,0.6824,13.81,resolved,-13.8100,-13.8100,false,false,2026-07-30T04:46:35.432Z,2026-07-30T06:15:21.635Z,2026-07-30
cms71d8h517xpu2wsr6qe81jr,STRATEGY:political_favorites,"will-john-braun-earn-the-most-votes-in-the-wa-03-primary-20260706195612135",politics,BUY,0.7402,10.00,open,0.0200,0.0000,,false,2026-07-30T04:51:15.881Z,,2026-07-30
cms7k9h721t3eu2wsupwod67e,STRATEGY:political_favorites,"will-donald-trump-publicly-insult-vladimir-putin-by-july-31-2026-20260626210612715",politics,BUY,0.6984,10.00,open,-0.8600,0.0000,,false,2026-07-30T13:40:13.263Z,,2026-07-30
